rank,channel_info,country,rank_group,follower_band,engagement_band,insight_segment,influence_score,balanced_influencer_score,posts,followers,followers_m,avg_likes,avg_likes_m,new_post_avg_like,new_post_avg_like_m,total_likes,total_likes_b,recent_60_day_eng_rate,recent_60_day_eng_rate_pct,engagement_rate,engagement_rate_pct,recent_eng_rate_missing,followers_score_0_100,engagement_score_0_100,recent_eng_score_0_100,influence_score_0_100
55,ronaldinho,Brazil,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,78,35.51783907358242,2900.0,67700000.0,67.7,872900.0,0.8729,325700.0,0.3257,2600000000.0,2.6,0.0049,0.49,0.012893648449039882,1.2893648449039883,False,27.094370500641535,3.441235891015801,1.8553578190079516,78.87323943661971
56,emmawatson,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,87,40.762174921089475,340.0,67300000.0,67.3,1900000.0,1.9,0.0,0.0,639000000.0,0.639,0.0001,0.01,0.02823179791976226,2.823179791976226,False,26.872804219872442,7.984162712806906,0.03786444528587656,91.54929577464789
57,bts.bighitofficial,Uruguay,51-100,Q3 팔로워 중상,Q4 반응 높음,일반 계정,78,41.77867496686349,1200.0,66900000.00000001,66.9,4099999.9999999995,4.1,3600000.0,3.6,4900000000.0,4.9,0.054000000000000006,5.4,0.06128550074738414,6.128550074738414,False,26.649917118919262,17.7741672646431,20.446800454373346,78.87323943661971
58,katrinakaif,India,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,85,40.71673568795806,1000.0,66300000.0,66.3,1700000.0,1.7,1500000.0,1.5,1700000000.0,1.7,0.0225,2.25,0.02564102564102564,2.564102564102564,False,26.313075196916667,7.216815328646155,8.519500189322226,88.73239436619718
59,marvel,Turkey,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,82,36.70855582854609,7000.0,66200000.0,66.2,332300.0,0.3323,339000.0,0.339,2300000000.0,2.3,0.0051,0.51,0.0050196374622356495,0.501963746223565,False,26.256638657214726,1.1090734762922403,1.9310867095797046,84.50704225352112
60,justintimberlake,United States,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,87,39.314549033605864,780.0,65900000.00000001,65.9,600400.0,0.6004,189400.0,0.1894,470700000.0,0.4707,0.003,0.3,0.009110773899848254,0.9110773899848255,False,26.086816107343143,2.320805927427487,1.135933358576297,91.54929577464789
61,camila_cabello,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,77,36.81970149199335,2900.0,65000000.0,65.0,1900000.0,1.9,1400000.0,1.4,5400000000.0,5.4,0.0219,2.19,0.02923076923076923,2.923076923076923,False,25.57267079553408,8.280042836523009,8.292313517606967,77.46478873239437
62,willsmith,United States,51-100,Q3 팔로워 중상,Q3 반응 중상,일반 계정,82,37.35033173371855,1400.0,63900000.0,63.9,1400000.0,1.4,0.0,0.0,1900000000.0,1.9,0.0002,0.02,0.02190923317683881,2.190923317683881,False,24.934515343118477,6.111515102483094,0.07572889057175312,84.50704225352112
63,raffinagita1717,Indonesia,51-100,Q3 팔로워 중상,Q1 반응 낮음,일반 계정,83,36.93151646436138,17500.0,63500000.0,63.5,386900.0,0.3869,366600.0,0.3666,6800000000.0,6.8,0.0058,0.58,0.006092913385826772,0.6092913385826771,False,24.699731523397908,1.4269614972540738,2.1961378265808404,85.91549295774648
64,anitta,United States,51-100,Q3 팔로워 중상,Q2 반응 중하,일반 계정,82,36.99471799587771,5100.0,63100000.0,63.1,855500.0,0.8555,426200.0,0.4262,4400000000.0,4.4,0.0069,0.69,0.013557844690966719,1.3557844690966718,False,24.46346406782477,3.6379607259212063,2.612646724725483,84.50704225352112
65,sooyaaa__,None,51-100,Q3 팔로워 중상,Q4 반응 높음,참여율 상위 10%,82,46.222588876849144,830.0,62900000.0,62.9,4500000.0,4.5,5900000.0,5.9,3800000000.0,3.8,0.0943,9.43,0.07154213036565978,7.154213036565977,False,24.3447680937753,20.81202511594275,35.706171904581595,84.50704225352112
